,Income,Limit,Rating,Cards,Age,Education,Gender,Student,Married,Ethnicity
1,36.295,2963,241,2,68,14,Female,Yes,No,African American
2,83.851,8494,607,5,47,18, Male,No,No,Caucasian
3,21.153,3736,256,1,41,11, Male,No,No,Caucasian
4,17.976,2433,190,3,70,16,Female,Yes,No,Caucasian
5,68.713,7582,531,2,56,16, Male,Yes,No,Caucasian
6,146.183,9540,682,6,66,15, Male,No,No,Caucasian
7,15.846,4768,365,4,53,12,Female,No,No,Caucasian
8,12.031,3182,259,2,58,18,Female,No,Yes,Caucasian
9,16.819,1337,115,2,74,15, Male,No,Yes,Asian
10,39.11,3189,263,3,72,12, Male,No,No,Asian
11,107.986,6033,449,4,64,14, Male,No,Yes,Caucasian
12,13.561,3261,279,5,37,19, Male,No,Yes,Asian
13,34.537,3271,250,3,57,17,Female,No,Yes,Asian
14,28.575,2959,231,2,60,11,Female,No,No,African American
15,46.007,6637,491,4,42,14, Male,No,Yes,Caucasian
16,69.251,6386,474,4,30,12,Female,No,Yes,Asian
17,16.482,3326,268,4,41,15, Male,No,No,Caucasian
18,40.442,4828,369,5,81,8,Female,No,No,African American
19,35.177,2117,186,3,62,16,Female,No,No,Caucasian
20,91.362,9113,626,1,47,17, Male,No,Yes,Asian
21,27.039,2161,173,3,40,17,Female,No,No,Caucasian
22,23.012,1410,137,3,81,16, Male,No,No,Caucasian
23,27.241,1402,128,2,67,15,Female,No,Yes,Asian
24,148.08,8157,599,2,83,13, Male,No,Yes,Caucasian
25,62.602,7056,481,1,84,11,Female,No,No,Caucasian
26,11.808,1300,117,3,77,14,Female,No,No,African American
27,29.564,2529,192,1,30,12,Female,No,Yes,Caucasian
28,27.578,2531,195,1,34,15,Female,No,Yes,Caucasian
29,26.427,5533,433,5,50,15,Female,Yes,Yes,Asian
30,57.202,3411,259,3,72,11,Female,No,No,Caucasian
31,123.299,8376,610,2,89,17, Male,Yes,No,African American
32,18.145,3461,279,3,56,15, Male,No,Yes,African American
33,23.793,3821,281,4,56,12,Female,Yes,Yes,African American
34,10.726,1568,162,5,46,19, Male,No,Yes,Asian
35,23.283,5443,407,4,49,13, Male,No,Yes,African American
36,21.455,5829,427,4,80,12,Female,No,Yes,African American
37,34.664,5835,452,3,77,15,Female,No,Yes,African American
38,44.473,3500,257,3,81,16,Female,No,No,African American
39,54.663,4116,314,2,70,8,Female,No,No,African American
40,36.355,3613,278,4,35,9, Male,No,Yes,Asian
41,21.374,2073,175,2,74,11,Female,No,Yes,Caucasian
42,107.841,10384,728,3,87,7, Male,No,No,African American
43,39.831,6045,459,3,32,12,Female,Yes,Yes,African American
44,91.876,6754,483,2,33,10, Male,No,Yes,Caucasian
45,103.893,7416,549,3,84,17, Male,No,No,Asian
46,19.636,4896,387,3,64,10,Female,No,No,African American
47,17.392,2748,228,3,32,14, Male,No,Yes,Caucasian
48,19.529,4673,341,2,51,14, Male,No,No,Asian
49,17.055,5110,371,3,55,15,Female,No,Yes,Caucasian
50,23.857,1501,150,3,56,16, Male,No,Yes,Caucasian
51,15.184,2420,192,2,69,11,Female,No,Yes,Caucasian
52,13.444,886,121,5,44,10, Male,No,Yes,Asian
53,63.931,5728,435,3,28,14,Female,No,Yes,African American
54,35.864,4831,353,3,66,13,Female,No,Yes,Caucasian
55,41.419,2120,184,4,24,11,Female,Yes,No,Caucasian
56,92.112,4612,344,3,32,17, Male,No,No,Caucasian
57,55.056,3155,235,2,31,16, Male,No,Yes,African American
58,19.537,1362,143,4,34,9,Female,No,Yes,Asian
59,31.811,4284,338,5,75,13,Female,No,Yes,Caucasian
60,56.256,5521,406,2,72,16,Female,Yes,Yes,Caucasian
61,42.357,5550,406,2,83,12,Female,No,Yes,Asian
62,53.319,3000,235,3,53,13, Male,No,No,Asian
63,12.238,4865,381,5,67,11,Female,No,No,Caucasian
64,31.353,1705,160,3,81,14, Male,No,Yes,Caucasian
65,63.809,7530,515,1,56,12, Male,No,Yes,Caucasian
66,13.676,2330,203,5,80,16,Female,No,No,African American
67,76.782,5977,429,4,44,12, Male,No,Yes,Asian
68,25.383,4527,367,4,46,11, Male,No,Yes,Caucasian
69,35.691,2880,214,2,35,15, Male,No,No,African American
70,29.403,2327,178,1,37,14,Female,No,Yes,Caucasian
71,27.47,2820,219,1,32,11,Female,No,Yes,Asian
72,27.33,6179,459,4,36,12,Female,No,Yes,Caucasian
73,34.772,2021,167,3,57,9, Male,No,No,Asian
74,36.934,4270,299,1,63,9,Female,No,Yes,Caucasian
75,76.348,4697,344,4,60,18, Male,No,No,Asian
76,14.887,4745,339,3,58,12, Male,No,Yes,African American
77,121.834,10673,750,3,54,16, Male,No,No,African American
78,30.132,2168,206,3,52,17, Male,No,No,Caucasian
79,24.05,2607,221,4,32,18, Male,No,Yes,Caucasian
80,22.379,3965,292,2,34,14,Female,No,Yes,Asian
81,28.316,4391,316,2,29,10,Female,No,No,Caucasian
82,58.026,7499,560,5,67,11,Female,No,No,Caucasian
83,10.635,3584,294,5,69,16, Male,No,Yes,Asian
84,46.102,5180,382,3,81,12, Male,No,Yes,African American
85,58.929,6420,459,2,66,9,Female,No,Yes,African American
86,80.861,4090,335,3,29,15,Female,No,Yes,Asian
87,158.889,11589,805,1,62,17,Female,No,Yes,Caucasian
88,30.42,4442,316,1,30,14,Female,No,No,African American
89,36.472,3806,309,2,52,13, Male,No,No,African American
90,23.365,2179,167,2,75,15, Male,No,No,Asian
91,83.869,7667,554,2,83,11, Male,No,No,African American
92,58.351,4411,326,2,85,16,Female,No,Yes,Caucasian
93,55.187,5352,385,4,50,17,Female,No,Yes,Caucasian
94,124.29,9560,701,3,52,17,Female,Yes,No,Asian
95,28.508,3933,287,4,56,14, Male,No,Yes,Asian
96,130.209,10088,730,7,39,19,Female,No,Yes,Caucasian
97,30.406,2120,181,2,79,14, Male,No,Yes,African American
98,23.883,5384,398,2,73,16,Female,No,Yes,African American
99,93.039,7398,517,1,67,12, Male,No,Yes,African American
100,50.699,3977,304,2,84,17,Female,No,No,African American
101,27.349,2000,169,4,51,16,Female,No,Yes,African American
102,10.403,4159,310,3,43,7, Male,No,Yes,Asian
103,23.949,5343,383,2,40,18, Male,No,Yes,African American
104,73.914,7333,529,6,67,15,Female,No,Yes,Caucasian
105,21.038,1448,145,2,58,13,Female,No,Yes,Caucasian
106,68.206,6784,499,5,40,16,Female,Yes,No,African American
107,57.337,5310,392,2,45,7,Female,No,No,Caucasian
108,10.793,3878,321,8,29,13, Male,No,No,Caucasian
109,23.45,2450,180,2,78,13, Male,No,No,Caucasian
110,10.842,4391,358,5,37,10,Female,Yes,Yes,Caucasian
111,51.345,4327,320,3,46,15, Male,No,No,African American
112,151.947,9156,642,2,91,11,Female,No,Yes,African American
113,24.543,3206,243,2,62,12,Female,No,Yes,Caucasian
114,29.567,5309,397,3,25,15, Male,No,No,Caucasian
115,39.145,4351,323,2,66,13, Male,No,Yes,Caucasian
116,39.422,5245,383,2,44,19, Male,No,No,African American
117,34.909,5289,410,2,62,16,Female,No,Yes,Caucasian
118,41.025,4229,337,3,79,19,Female,No,Yes,Caucasian
119,15.476,2762,215,3,60,18, Male,No,No,Asian
120,12.456,5395,392,3,65,14, Male,No,Yes,Caucasian
121,10.627,1647,149,2,71,10,Female,Yes,Yes,Asian
122,38.954,5222,370,4,76,13,Female,No,No,Caucasian
123,44.847,5765,437,3,53,13,Female,Yes,No,Asian
124,98.515,8760,633,5,78,11,Female,No,No,African American
125,33.437,6207,451,4,44,9, Male,Yes,No,Caucasian
126,27.512,4613,344,5,72,17, Male,No,Yes,Asian
127,121.709,7818,584,4,50,6, Male,No,Yes,Caucasian
128,15.079,5673,411,4,28,15,Female,No,Yes,Asian
129,59.879,6906,527,6,78,15,Female,No,No,Caucasian
